NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_PROVA,TP_SEXO_DESC,TP_COR_RACA_DESC,TP_ESCOLA_DESC,Q006,Q006_RENDA_DESC,GRUPO_RENDA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_GERAL
210055278087,2022,Curitiba,Feminino,Branca,Não informado (Egresso),H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),544.1,519.9,486.1,590.4,640.0,556.1
210055565552,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),509.7,555.6,562.2,550.2,580.0,551.54
210055695328,2022,Curitiba,Feminino,Branca,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),560.2,579.6,617.2,557.0,560.0,574.8
210055029252,2022,Curitiba,Feminino,Branca,Pública,K,K - De 7 a 8 SM,Alta Renda (Acima de R$ 6.060),516.3,527.9,586.5,683.7,720.0,606.88
210055497557,2022,Curitiba,Feminino,Parda,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),481.9,536.7,498.6,521.9,560.0,519.82
210055510745,2022,Curitiba,Masculino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),433.5,535.5,485.8,512.8,420.0,477.52
210054761121,2022,Curitiba,Masculino,Branca,Pública,K,K - De 7 a 8 SM,Alta Renda (Acima de R$ 6.060),402.0,574.7,570.2,535.6,540.0,524.5
210057728074,2022,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),598.7,608.7,578.0,470.5,600.0,571.18
210056266092,2022,Curitiba,Feminino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),455.8,443.4,491.4,542.7,500.0,486.66
210055355342,2022,Curitiba,Feminino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),461.9,482.2,464.1,578.9,580.0,513.42
